t,h,hMRUV
0,0.4,0.4
0.166666666666667,1.2,1.64677672955975
0.333333333333333,2.5,4.30377358490566
0.5,4.4,8.37099056603774
0.666666666666667,6.8,13.848427672956
0.833333333333333,9.6,20.7360849056604
1,12.8,29.0339622641509
1.16666666666667,16.9,38.7420597484277
1.33333333333333,22,49.8603773584906
1.5,28.3,62.3889150943396
1.66666666666667,35.7,76.3276729559749
1.83333333333333,44.2,91.6766509433963
2,53.9,108.435849056604
2.16666666666667,64.7,126.605267295598
2.33333333333333,76.4,146.184905660377
2.5,88.3,167.174764150943
2.66666666666667,100,189.574842767296
2.83333333333333,110,213.385141509434
3,121,238.605660377359
3.16666666666667,130,265.236399371069
3.33333333333333,139,293.277358490566
3.5,148,322.728537735849
3.66666666666667,156,353.589937106918
3.83333333333333,163,385.861556603774
4,169,419.543396226415
