t,v,vMRUV
0,195,195
0.166666666666667,376,568.5
0.333333333333333,587,941.999999999999
0.5,804,1315.5
0.666666666666667,932,1689
0.833333333333333,1093,2062.5
1,1353,2436
1.16666666666667,1751,2809.5
1.33333333333333,2216,3183
1.5,2755,3556.5
1.66666666666667,3381,3930
1.83333333333333,4113,4303.5
2,4962,4677
2.16666666666667,5803,5050.5
2.33333333333333,6724,5424
2.5,6634,5797.5
2.66666666666667,6655,6171
2.83333333333333,6752,6544.5
3,6868,6918
3.16666666666667,7003,7291.5
3.33333333333333,7159,7664.99999999999
3.5,7335,8038.49999999999
3.66666666666667,7538,8411.99999999999
3.83333333333333,7768,8785.49999999999
4,8024,9158.99999999999
4.16666666666667,8303,9532.49999999999
4.33333333333333,8609,9905.99999999999
4.5,8936,10279.5
4.66666666666667,9285,10653
4.83333333333333,9657,11026.5
5,10049,11400
5.16666666666667,10464,11773.5
5.33333333333333,10896,12147
5.5,11351,12520.5
5.66666666666667,11824,12894
5.83333333333333,12323,13267.5
6,12839,13641
6.16666666666667,13389,14014.5
6.33333333333333,13960,14388
6.5,14565,14761.5
6.66666666666667,15199,15135
6.83333333333333,15872,15508.5
7,16588,15882
7.16666666666667,17349,16255.5
7.33333333333333,18166,16629
7.5,19053,17002.5
7.66666666666667,19995,17376
7.83333333333333,21025,17749.5
8,22115,18123
8.16666666666667,23296,18496.5
8.33333333333333,24591,18870
8.5,25988,19243.5
8.66666666666667,27011,19617
8.83333333333333,27012,19990.5
9,27011,20364
9.16666666666667,27010,20737.5
9.33333333333333,27010,21111
9.5,27009,21484.5
9.66666666666667,27008,21858
9.83333333333333,27007,22231.5
10,27007,22605
10.1666666666667,27006,22978.5
10.3333333333333,27005,23352
10.5,27004,23725.5
10.6666666666667,27003,24099
10.8333333333333,27002,24472.5
11,27002,24846
11.1666666666667,27001,25219.5
11.3333333333333,27000,25593
11.5,26999,25966.5
11.6666666666667,26998,26340
11.8333333333333,26997,26713.5
